Setp Count,Reward,Steps Time,Time to MaxSetp,Stress,Stress2,Stress3
9951,0.04,199,199,100,4,35
2116,-0.01,42,42,21,17,100
1367,-0.01,27,27,14,67,100
900,-0.01,18,18,9,67,100
2417,0.29,48,48,24,33,100
8116,0.05,162,162,81,2,100
1717,0.09,34,34,17,67,100
1733,0.09,35,35,17,50,100
1667,-0.01,33,33,17,17,100
1800,0.09,36,36,18,50,100
1450,0.19,29,29,15,67,100
2767,-0.02,55,55,28,83,100
933,-0.01,19,19,9,10,100
1350,0.09,27,27,14,50,100
467,0.00,9,9,5,50,100
3300,0.08,66,66,33,5,100
483,0.00,10,10,5,33,100
3983,-0.02,80,80,40,17,100
267,0.30,5,5,3,33,100
883,-0.01,18,18,9,33,100
6967,0.06,139,139,70,17,100
483,0.10,10,10,5,17,100
3550,0.08,71,71,36,17,100
534,0.10,11,11,5,67,100
4350,0.17,87,87,44,33,100
9950,-0.06,199,199,100,3,0
283,0.00,6,6,3,50,100
1917,0.09,38,38,19,50,100
316,0.10,6,6,3,67,100
917,0.09,18,18,9,67,100
2100,0.09,42,42,21,33,100
2050,0.09,41,41,21,9,100
1400,0.09,28,28,14,50,100
9733,-0.06,195,195,97,17,100
9950,0.24,199,199,100,10,104
1917,0.09,38,38,19,33,100
783,0.00,16,16,8,67,100
750,0.10,15,15,8,67,100
1217,0.09,24,24,12,67,100
917,-0.01,18,18,9,67,100
1566,0.09,31,31,16,17,100
9950,-0.06,199,199,100,6,0
9867,-0.06,197,197,99,8,100
2900,-0.02,58,58,29,50,100
633,0.00,13,13,6,83,100
517,0.00,10,10,5,2,100
1133,0.19,23,23,11,50,100
1484,-0.01,30,30,15,67,100
9950,0.04,199,199,100,33,32
3666,-0.02,73,73,37,33,100
2500,0.39,50,50,25,2,100
2134,-0.01,43,43,21,83,100
2733,0.08,55,55,27,3,100
400,0.00,8,8,4,83,100
3450,0.08,69,69,35,17,100
3783,0.08,76,76,38,17,100
1550,-0.01,31,31,16,33,100
2100,0.09,42,42,21,50,100
1184,-0.01,24,24,12,83,100
1866,-0.01,37,37,19,33,100
2500,0.08,50,50,25,8,100
2317,-0.01,46,46,23,5,100
1383,-0.01,28,28,14,7,100
2084,0.19,42,42,21,50,100
7750,0.05,155,155,78,6,100
1650,-0.01,33,33,17,67,100
9950,0.04,199,199,100,8,37
666,0.10,13,13,7,50,100
5250,0.07,105,105,53,1,100
1600,-0.01,32,32,16,17,100
4050,0.08,81,81,41,17,100
1184,0.29,24,24,12,33,100
1283,-0.01,26,26,13,33,100
350,0.10,7,7,4,33,100
400,0.00,8,8,4,4,100
8050,1.25,161,161,81,9,1
4000,0.08,80,80,40,7,100
9950,-0.06,199,199,100,6,0
1300,-0.01,26,26,13,33,100
967,-0.01,19,19,10,50,100
1250,-0.01,25,25,13,7,100
9950,0.14,199,199,100,10,69
9950,0.04,199,199,100,17,35
1566,-0.01,31,31,16,83,100
717,0.00,14,14,7,67,100
2000,0.09,40,40,20,3,100
967,-0.01,19,19,10,83,100
3783,1.18,76,76,38,4,3
9950,0.34,199,199,100,9,129
900,-0.01,18,18,9,50,100
1517,-0.01,30,30,15,67,100
5000,0.27,100,100,50,9,100
733,0.10,15,15,7,17,100
1767,-0.01,35,35,18,17,100
466,0.20,9,9,5,17,100
884,0.09,18,18,9,33,100
9950,0.04,199,199,100,7,35
2466,0.29,49,49,25,33,100
617,0.10,12,12,6,50,100
1133,-0.01,23,23,11,17,100
1467,0.09,29,29,15,3,100
400,0.00,8,8,4,83,100
750,0.00,15,15,8,17,100
1100,0.09,22,22,11,33,100
1900,0.29,38,38,19,33,100
9950,0.24,199,199,100,6,104
2083,0.09,42,42,21,33,100
2800,-0.02,56,56,28,50,100
4934,0.07,99,99,49,17,100
483,0.00,10,10,5,17,100
867,0.19,17,17,9,50,100
7450,0.26,149,149,75,17,100
1583,-0.01,32,32,16,50,100
933,0.19,19,19,9,33,100
7884,0.05,158,158,79,17,100
900,0.09,18,18,9,17,100
533,0.00,11,11,5,83,100
