Setp Count,Reward,Steps Time,Time to MaxSetp,Stress,Stress2,Stress3,meanStress,meanStress,FunGraph
3951,0.08,79,79,40,3,100,48,92,8
3633,-0.02,73,73,36,17,100,51,70,30
700,0.1,14,14,7,7,100,38,65,35
533,0,11,11,5,17,100,41,64,36
350,0,7,7,4,33,100,46,56,44
500,0,10,10,5,17,100,41,61,39
2217,-0.01,44,44,22,4,100,42,56,44
500,0,10,10,5,17,100,41,56,44
683,0.2,14,14,7,17,100,41,48,52
500,0,10,10,5,33,100,46,50,50
850,0.09,17,17,9,10,100,40,,
984,0.09,20,20,10,17,100,42,,
783,0,16,16,8,33,100,47,,
833,0.09,17,17,8,17,100,42,,
867,-0.01,17,17,9,33,100,47,,
667,0,13,13,7,17,100,41,,
683,0,14,14,7,5,100,37,,
433,0,9,9,4,33,100,46,,
750,0,15,15,8,33,100,47,,
667,0,13,13,7,33,100,47,,
483,0,10,10,5,17,100,41,,
950,-0.01,19,19,10,8,100,39,,
550,0.1,11,11,6,9,100,38,,
517,0,10,10,5,33,100,46,,
700,0,14,14,7,33,100,47,,
500,0,10,10,5,17,100,41,,
1283,-0.01,26,26,13,17,100,43,,
400,0,8,8,4,33,100,46,,
634,0.1,13,13,6,17,100,41,,
500,0,10,10,5,33,100,46,,
716,0,14,14,7,4,100,37,,
600,0,12,12,6,17,100,41,,
917,-0.01,18,18,9,17,100,42,,
433,0,9,9,4,9,100,38,,
667,0,13,13,7,33,100,47,,
617,0,12,12,6,17,100,41,,
816,0,16,16,8,9,100,39,,
517,0,10,10,5,17,100,41,,
633,0,13,13,6,17,100,41,,
784,0,16,16,8,17,100,42,,
350,0,7,7,4,1,100,35,,
550,0,11,11,6,17,100,41,,
466,0,9,9,5,17,100,41,,
334,0,7,7,3,33,100,45,,
1133,-0.01,23,23,11,33,100,48,,
450,0,9,9,5,10,100,38,,
850,0.09,17,17,9,7,100,39,,
433,0,9,9,4,17,100,40,,
717,0,14,14,7,17,100,41,,
1050,-0.01,21,21,11,33,100,48,,
567,0,11,11,6,17,100,41,,
966,-0.01,19,19,10,2,100,37,,
884,-0.01,18,18,9,33,100,47,,
700,0,14,14,7,17,100,41,,
1733,-0.01,35,35,17,9,100,42,,
533,0,11,11,5,33,100,46,,
400,0,8,8,4,17,100,40,,
467,0,9,9,5,17,100,41,,
433,0.1,9,9,4,8,100,37,,
517,0.1,10,10,5,17,100,41,,
617,0.1,12,12,6,6,100,37,,
800,0,16,16,8,17,100,42,,
783,0.1,16,16,8,17,100,42,,
1100,0.09,22,22,11,17,100,43,,
1200,0.19,24,24,12,2,100,38,,
450,0.1,9,9,5,17,100,41,,
1150,-0.01,23,23,12,8,100,40,,
617,0,12,12,6,33,100,46,,
466,0,9,9,5,33,100,46,,
1017,-0.01,20,20,10,3,100,38,,
1200,0.09,24,24,12,1,100,38,,
300,0.1,6,6,3,17,100,40,,
750,0,15,15,8,17,100,42,,
550,0,11,11,6,33,100,46,,
567,0,11,11,6,33,100,46,,
1850,-0.01,37,37,19,33,100,51,,
783,0,16,16,8,9,100,39,,
467,0,9,9,5,33,100,46,,
300,0.1,6,6,3,17,100,40,,
800,0,16,16,8,17,100,42,,
533,0,11,11,5,7,100,37,,
600,0,12,12,6,33,100,46,,
350,0.1,7,7,4,17,100,40,,
600,0,12,12,6,17,100,41,,
1250,0.09,25,25,13,8,100,40,,
500,0,10,10,5,10,100,38,,
750,0,15,15,8,33,100,47,,
517,0,10,10,5,2,100,36,,
466,0,9,9,5,3,100,36,,
567,0,11,11,6,33,100,46,,
2433,0.09,49,49,24,5,100,43,,
1067,-0.01,21,21,11,9,100,40,,
