Setp Count,Reward,Steps Time,Time to MaxSetp
1934,-0.01169999,38.68668,38.68668
3217,0.08069982,64.33333,64.33333
2466,-0.01479998,49.33334,49.33334
6484,0.1610996,129.6667,129.6667
1083,-0.006499996,21.66669,21.66669
1867,0.08879999,37.33331,37.33331
4133,-0.02479997,82.66669,82.66669
983,-0.005899997,19.66669,19.66669
734,0.09559998,14.66663,14.66663
3483,0.1790999,69.66669,69.66669
3567,0.1785996,71.33331,71.33331
1266,-0.007599995,25.33337,25.33337
5484,0.1670996,109.6666,109.6666
6250,0.3625038,125,125
6466,0.1611994,129.3334,129.3334
4717,1.371702,94.33337,94.33337
883,-0.005299998,17.66663,17.66663
517,-0.0031,10.33337,10.33337
5117,-0.03069996,102.3333,102.3333
783,-0.004699999,15.66675,15.66675
1167,-0.006999996,23.33325,23.33325
1816,-0.01089999,36.33337,36.33337
2117,0.08719981,42.3468,42.3468
2467,-0.01479998,49.33325,49.33325
2233,-0.01339998,44.66675,44.66675
767,-0.0046,15.33325,15.33325
1250,-0.007499995,25,25
1000,0.09399991,20,20
2050,-0.01229999,41,41
1316,0.09209993,26.33337,26.33337
1934,0.08839982,38.66663,38.66663
533,-0.0032,10.66675,10.66675
2750,-0.01649998,55,55
1633,-0.009799991,32.66675,32.66675
3734,0.07759979,74.6665,74.6665
1950,-0.01169999,39,39
3716,0.1776998,74.3335,74.3335
517,-0.0031,10.33325,10.33325
717,0.1956999,14.33325,14.33325
2383,1.2857,47.66675,47.66675
1417,-0.008499993,28.33325,28.33325
583,-0.0035,11.66675,11.66675
1300,0.1922,26,26
2717,-0.01629998,54.33325,54.33325
1100,0.09339997,22,22
3500,0.2790013,70,70
1750,-0.01049999,35,35
1516,-0.009099992,30.3335,30.3335
1100,0.0933999,22,22
2300,0.08619978,46,46
1750,-0.01049999,35,35
417,-0.0025,8.333252,8.333252
1350,-0.008099994,27,27
2633,0.08419982,52.66675,52.66675
867,0.09479993,17.33325,17.33325
1033,-0.006199997,20.66675,20.66675
2484,0.08509993,49.6665,49.6665
3200,0.1807997,64,64
983,0.0941,19.66675,19.66675
1500,-0.008999992,30,30
2250,-0.01349998,45,45
1400,0.09159993,28,28
2400,-0.01439998,48,48
583,1.2965,11.66675,11.66675
1300,-0.007799994,26,26
1017,-0.006099997,20.33325,20.33325
850,-0.005099999,17,17
2250,-0.01349998,45,45
550,-0.0033,11,11
517,0.09689996,10.33325,10.33325
716,0.09569994,14.3335,14.3335
1084,-0.006499996,21.6665,21.6665
1816,1.2891,36.3335,36.3335
284,-0.0017,5.666504,5.666504
2783,-0.01669998,55.66675,55.66675
3583,0.07849968,71.66675,71.66675
1117,0.1932999,22.33325,22.33325
3300,0.2802018,66,66
1900,0.08859983,38,38
4533,-0.02719996,90.66675,90.66675
1834,0.1889998,36.6665,36.6665
833,0.2950004,16.66675,16.66675
2283,0.08629987,45.66675,45.66675
4250,0.2745011,85,85
717,-0.0043,14.33325,14.33325
817,-0.004899999,16.33325,16.33325
500,-0.003,10,10
1550,0.09070001,31,31
2733,1.2836,54.66675,54.66675
8017,0.2517992,160.3403,160.3403
1100,-0.006599996,22,22
4900,1.2706,98,98
1133,0.1931999,22.66699,22.66699
450,-0.0027,9,9
4883,1.2707,97.6665,97.6665
5850,0.1648994,117,117
267,0.09839997,5.333496,5.333496
2283,0.1861998,45.67383,45.67383
2234,0.2866015,44.6665,44.6665
1700,0.1897998,34,34
750,0.09549994,15,15
916,-0.005499998,18.3335,18.3335
2750,0.08349973,55,55
1317,0.09209994,26.3335,26.3335
1333,0.1918999,26.67383,26.67383
1484,0.1910999,29.6665,29.6665
650,-0.003900001,13,13
1033,-0.006199997,20.66699,20.66699
1017,0.0937999,20.34033,20.34033
2133,-0.01279999,42.66699,42.66699
3467,0.1791998,69.33301,69.33301
2300,-0.01379998,46,46
1050,0.09369989,21,21
450,0.09729997,9,9
3650,0.2780001,73,73
700,-0.0043,14,14
8816,0.1470991,176.3335,176.3335
400,-0.0024,8,8
500,-0.003,10,10
550,-0.0033,11,11
584,-0.0036,11.68018,11.68018
966,0.09409995,19.3335,19.3335
400,-0.0025,8.013672,8.013672
1050,-0.006299997,21,21
1617,0.09019987,32.34717,32.34717
1533,1.3908,30.6665,30.6665
1017,0.2938002,20.34766,20.34766
2317,0.08609978,46.33301,46.33301
783,0.2953002,15.66699,15.66699
950,0.1941999,19.00684,19.00684
1183,0.1928999,23.66699,23.66699
867,0.2948005,17.33301,17.33301
3267,-0.01959997,65.33301,65.33301
2450,0.08529978,49,49
1450,0.291301,29,29
7233,0.0565994,144.667,144.667
883,1.3946,17.67383,17.67383
517,0.09689999,10.33301,10.33301
5667,0.3660033,113.333,113.333
3066,1.381502,61.33398,61.33398
317,-0.001899999,6.333008,6.333008
350,0.1979,7,7
9017,1.345906,180.333,180.333
7266,1.256399,145.334,145.334
634,0.1960999,12.68066,12.68066
3266,1.2804,65.33398,65.33398
584,0.09649996,11.66602,11.66602
6250,0.2625019,125,125
2000,0.08789986,40,40
1016,1.2939,20.33398,20.33398
2384,0.08569984,47.66602,47.66602
3100,0.3814016,62,62
2666,0.08399974,53.33398,53.33398
434,-0.0026,8.666016,8.666016
3316,1.380101,66.33398,66.33398
3984,0.2761,79.66602,79.66602
533,0.1968,10.66699,10.66699
617,-0.0037,12.33301,12.33301
2016,0.08789982,40.33398,40.33398
9350,1.343899,187,187
267,-0.0016,5.333008,5.333008
1217,-0.007299995,24.33301,24.33301
6183,1.462901,123.667,123.667
6600,1.360301,132.0068,132.0068
3950,1.576301,79,79
983,0.1940999,19.66699,19.66699
3884,0.3767007,77.66602,77.66602
2400,1.485602,48,48
3283,0.4803017,65.66699,65.66699
1717,0.1895998,34.33984,34.33984
5266,0.2683998,105.334,105.334
8317,1.450106,166.333,166.333
650,0.09609997,13,13
