Setp Count,Reward,Steps Time,Time to MaxSetp,Stress
1384,-0.01,28,28,14
533,0.00,11,11,5
1917,-0.01,38,38,19
1350,-0.01,27,27,14
2067,0.09,41,41,21
1133,0.09,23,23,11
500,0.00,10,10,5
650,0.00,13,13,7
3783,0.18,76,76,38
1267,-0.01,25,25,13
1417,0.09,28,28,14
1466,-0.01,29,29,15
1334,-0.01,27,27,13
9900,0.04,198,198,99
933,-0.01,19,19,9
800,0.00,16,16,8
5317,0.07,106,106,53
900,-0.01,18,18,9
400,0.00,8,8,4
916,0.19,18,18,9
2417,-0.01,48,48,24
1733,0.09,35,35,17
500,0.00,10,10,5
4834,0.17,97,97,48
2300,0.19,46,46,23
950,-0.01,19,19,10
9900,0.14,198,198,99
3700,0.28,74,74,37
1950,0.19,39,39,20
1700,-0.01,34,34,17
2466,-0.01,49,49,25
9534,0.04,191,191,95
5916,0.06,118,118,59
3317,-0.02,66,66,33
1467,0.19,29,29,15
1533,0.19,31,31,15
550,0.00,11,11,6
1400,-0.01,28,28,14
833,0.19,17,17,8
2617,-0.02,52,52,26
1067,-0.01,21,21,11
3466,0.28,69,69,35
5617,0.07,112,112,56
5383,0.17,108,108,54
5734,1.37,115,115,57
1133,-0.01,23,23,11
517,0.00,10,10,5
2983,-0.02,60,60,30
1750,0.09,35,35,18
1133,-0.01,23,23,11
1934,-0.01,39,39,19
2416,-0.01,48,48,24
1234,-0.01,25,25,12
1433,-0.01,29,29,14
9900,-0.06,198,198,99
7300,0.06,146,146,73
1150,0.19,23,23,12
7500,-0.05,150,150,75
5317,0.17,106,106,53
1850,0.19,37,37,19
3483,0.28,70,70,35
9900,0.04,198,198,99
4783,0.07,96,96,48
5100,0.47,102,102,51
7250,0.06,145,145,73
6934,1.26,139,139,69
516,0.10,10,10,5
9900,-0.06,198,198,99
1234,-0.01,25,25,12
8966,-0.05,179,179,90
4134,0.28,83,83,41
9900,0.24,198,198,99
533,0.10,11,11,5
5333,0.17,107,107,53
1117,0.09,22,22,11
917,-0.01,18,18,9
1200,0.09,24,24,12
4483,0.07,90,90,45
967,0.09,19,19,10
4000,-0.02,80,80,40
3350,0.08,67,67,34
1050,0.09,21,21,11
1233,-0.01,25,25,12
9900,0.24,198,198,99
1333,0.09,27,27,13
9900,0.24,198,198,99
1400,-0.01,28,28,14
7567,1.35,151,151,76
8800,1.55,176,176,88
9900,0.14,198,198,99
9900,0.14,198,198,99
9900,0.14,198,198,99
9900,0.44,198,198,99
500,0.00,10,10,5
9900,0.24,198,198,99
9900,0.24,198,198,99
800,0.10,16,16,8
9900,0.44,198,198,99
1417,0.19,28,28,14
9900,0.24,198,198,99
9900,0.34,198,198,99
