Setp Count,Reward,Steps Time,Time to MaxSetp,Stress,Stress2
634,0.10,13,13,6,17
4283,1.37,86,86,43,9
2400,-0.01,48,48,24,83
1684,-0.01,34,34,17,50
850,-0.01,17,17,9,33
3650,0.08,73,73,37,4
816,0.10,16,16,8,67
1667,-0.01,33,33,17,33
4683,0.07,94,94,47,17
1817,0.19,36,36,18,33
9900,0.14,198,198,99,2
2667,-0.02,53,53,27,6
600,0.00,12,12,6,83
600,0.10,12,12,6,67
1700,-0.01,34,34,17,83
783,0.00,16,16,8,67
9900,0.14,198,198,99,6
1583,-0.01,32,32,16,33
6150,-0.04,123,123,62,33
1200,0.09,24,24,12,50
2884,-0.02,58,58,29,6
1566,-0.01,31,31,16,50
3084,-0.02,62,62,31,33
6000,-0.04,120,120,60,8
3033,-0.02,61,61,30,9
1117,-0.01,22,22,11,50
900,0.09,18,18,9,50
9900,0.04,198,198,99,7
533,0.00,11,11,5,50
9900,0.04,198,198,99,6
3717,1.18,74,74,37,8
1733,0.09,35,35,17,67
1133,0.19,23,23,11,50
1934,-0.01,39,39,19,67
3583,0.08,72,72,36,8
300,0.00,6,6,3,50
1233,-0.01,25,25,12,33
5167,1.17,103,103,52,1
733,0.00,15,15,7,33
667,0.20,13,13,7,33
667,0.10,13,13,7,50
450,0.00,9,9,5,83
1400,1.19,28,28,14,9
1666,-0.01,33,33,17,50
2367,-0.01,47,47,24,50
9900,0.34,198,198,99,9
1133,0.09,23,23,11,17
7017,-0.04,140,140,70,17
9583,-0.06,192,192,96,33
9900,-0.06,198,198,99,4
1967,0.09,39,39,20,10
9900,0.24,198,198,99,5
817,0.00,16,16,8,33
1016,0.09,20,20,10,3
9900,0.04,198,198,99,17
1334,0.09,27,27,13,67
1250,-0.01,25,25,13,67
2116,0.09,42,42,21,33
2034,0.09,41,41,20,9
8966,-0.05,179,179,90,7
1267,0.09,25,25,13,33
2517,0.08,50,50,25,17
1266,0.09,25,25,13,67
5734,1.27,115,115,57,9
6233,-0.04,125,125,62,17
617,0.00,12,12,6,33
1250,0.09,25,25,13,33
2083,0.09,42,42,21,33
1950,0.09,39,39,20,33
9900,0.14,198,198,99,4
4050,0.18,81,81,41,17
9900,0.14,198,198,99,2
1517,0.19,30,30,15,50
1550,-0.01,31,31,16,17
9900,1.14,198,198,99,6
3983,-0.02,80,80,40,17
767,0.00,15,15,8,83
2283,0.09,46,46,23,50
1150,-0.01,23,23,12,50
4483,0.07,90,90,45,50
9900,0.24,198,198,99,3
917,-0.01,18,18,9,8
8883,0.35,178,178,89,5
9900,0.34,198,198,99,9
617,0.20,12,12,6,50
3917,1.18,78,78,39,4
4883,0.27,98,98,49,7
1000,-0.01,20,20,10,50
1050,-0.01,21,21,11,3
7467,1.16,149,149,75,8
9900,0.14,198,198,99,5
1066,0.19,21,21,11,50
367,0.30,7,7,4,50
1083,0.19,22,22,11,33
667,0.00,13,13,7,67
9900,0.34,198,198,99,9
7283,0.36,146,146,73,17
4700,1.37,94,94,47,1
9900,0.04,198,198,99,3
9900,0.04,198,198,99,17
9900,0.24,198,198,99,10
1517,0.49,30,30,15,9
583,0.00,12,12,6,9
1234,0.09,25,25,12,17
783,0.00,16,16,8,83
9067,-0.05,181,181,91,17
1250,0.19,25,25,13,67
166,0.00,3,3,2,67
5350,0.17,107,107,54,17
367,0.20,7,7,4,17
9900,0.04,198,198,99,7
9900,0.04,198,198,99,8
3400,0.28,68,68,34,17
9900,0.14,198,198,99,5
3650,0.18,73,73,37,33
9900,0.14,198,198,99,33
167,0.00,3,3,2,33
9900,0.04,198,198,99,67
450,0.20,9,9,5,50
9900,0.14,198,198,99,2
300,1.20,6,6,3,2
583,0.10,12,12,6,5
367,1.20,7,7,4,7
7716,0.15,154,154,77,3
1050,0.09,21,21,11,10
1734,0.19,35,35,17,17
4950,-0.03,99,99,50,17
6200,0.26,124,124,62,7
8383,0.15,168,168,84,7
267,0.00,5,5,3,50
9900,-0.06,198,198,99,50
9900,0.04,198,198,99,67
750,0.10,15,15,8,33
9900,-0.06,198,198,99,17
9900,-0.06,198,198,99,17
9900,0.04,198,198,99,5
9900,0.14,198,198,99,2
8100,0.15,162,162,81,33
833,0.19,17,17,8,17
383,0.10,8,8,4,50
8850,0.15,177,177,89,5
767,0.00,15,15,8,33
3200,1.18,64,64,32,7
267,0.10,5,5,3,2
9900,0.04,198,198,99,3
9900,0.24,198,198,99,4
633,0.10,13,13,6,67
3317,0.08,66,66,33,3
9900,-0.06,198,198,99,4
9900,0.04,198,198,99,7
3916,0.28,78,78,39,1
9900,0.14,198,198,99,8
9900,0.34,198,198,99,8
9900,0.04,198,198,99,2
2450,-0.01,49,49,25,10
6084,0.46,122,122,61,10
550,0.20,11,11,6,8
1283,0.09,26,26,13,7
717,0.20,14,14,7,17
2533,1.68,51,51,25,2
533,0.10,11,11,5,17
367,0.20,7,7,4,33
9900,0.24,198,198,99,6
983,0.19,20,20,10,33
9900,0.34,198,198,99,9
9900,0.54,198,198,99,10
184,1.20,4,4,2,4
1033,1.49,21,21,10,3
9900,0.14,198,198,99,6
7433,1.26,149,149,74,8
9900,0.54,198,198,99,6
467,0.10,9,9,5,33
1367,1.39,27,27,14,4
5400,1.27,108,108,54,5
9900,0.34,198,198,99,1
9900,0.44,198,198,99,9
9900,0.14,198,198,99,2
9900,0.24,198,198,99,7
4950,0.37,99,99,50,8
9900,0.04,198,198,99,9
516,1.40,10,10,5,1
584,0.10,12,12,6,33
3283,1.38,66,66,33,3
500,1.20,10,10,5,10
1400,1.19,28,28,14,8
7183,0.36,144,144,72,17
1734,1.49,35,35,17,1
150,1.20,3,3,2,3
666,0.10,13,13,7,67
9900,0.14,198,198,99,9
584,0.20,12,12,6,33
500,0.10,10,10,5,17
566,0.30,11,11,6,17
1684,0.29,34,34,17,33
9900,0.44,198,198,99,2
8483,1.25,170,170,85,4
883,0.09,18,18,9,33
1534,1.39,31,31,15,6
5733,0.37,115,115,57,2
433,0.20,9,9,4,50
1084,-0.01,22,22,11,17
3900,0.08,78,78,39,67
683,0.30,14,14,7,17
1783,0.19,36,36,18,33
684,0.00,14,14,7,33
3500,0.18,70,70,35,6
766,0.10,15,15,8,33
3950,1.18,79,79,40,7
284,0.20,6,6,3,3
1650,0.29,33,33,17,5
1766,0.19,35,35,18,17
1000,1.19,20,20,10,3
1300,0.19,26,26,13,17
9900,0.24,198,198,99,8
6667,0.16,133,133,67,33
9900,0.14,198,198,99,3
9900,0.04,198,198,99,5
9900,0.14,198,198,99,7
2967,1.48,59,59,30,1
9900,0.44,198,198,99,9
9700,1.34,194,194,97,4
1283,0.29,26,26,13,17
7950,0.05,159,159,80,17
9900,0.24,198,198,99,10
1083,0.29,22,22,11,17
467,0.20,9,9,5,50
9900,0.14,198,198,99,10
1167,0.39,23,23,12,6
350,0.10,7,7,4,50
9900,0.54,198,198,99,5
766,0.20,15,15,8,50
9900,0.24,198,198,99,33
467,0.10,9,9,5,67
9900,0.24,198,198,99,2
7367,1.26,147,147,74,7
1450,0.19,29,29,15,17
2116,0.29,42,42,21,17
1384,0.29,28,28,14,33
1633,0.19,33,33,16,17
333,0.20,7,7,3,33
4417,0.27,88,88,44,33
9900,0.04,198,198,99,8
9900,0.04,198,198,99,7
9900,0.44,198,198,99,5
9900,0.14,198,198,99,8
9900,0.24,198,198,99,9
3183,1.18,64,64,32,6
9900,-0.06,198,198,99,1
8117,1.35,162,162,81,3
217,0.00,4,4,2,50
9900,0.24,198,198,99,17
9900,0.14,198,198,99,50
9900,0.54,198,198,99,2
9900,-0.06,198,198,99,67
9900,0.14,198,198,99,2
9900,-0.06,198,198,99,7
550,0.20,11,11,6,9
9900,0.04,198,198,99,5
9900,0.34,198,198,99,8
9900,0.04,198,198,99,17
483,0.30,10,10,5,33
367,0.20,7,7,4,17
9900,-0.06,198,198,99,33
9900,0.14,198,198,99,4
900,0.19,18,18,9,33
9900,0.14,198,198,99,4
8500,1.45,170,170,85,5
9900,0.44,198,198,99,5
8033,0.35,161,161,80,17
3633,1.48,73,73,36,2
9900,0.24,198,198,99,33
234,0.10,5,5,2,67
9900,0.04,198,198,99,5
333,0.10,7,7,3,50
283,0.10,6,6,3,33
9900,0.24,198,198,99,10
2417,0.19,48,48,24,17
2983,1.48,60,60,30,3
9900,0.24,198,198,99,6
534,0.00,11,11,5,50
7050,1.16,141,141,71,4
2900,1.28,58,58,29,6
2500,0.29,50,50,25,7
316,1.20,6,6,3,1
9900,0.14,198,198,99,50
9900,0.34,198,198,99,5
650,0.10,13,13,7,67
4584,1.27,92,92,46,10
350,0.20,7,7,4,50
616,0.10,12,12,6,50
834,0.19,17,17,8,50
9900,0.04,198,198,99,3
9900,0.34,198,198,99,1
316,0.00,6,6,3,83
6784,0.06,136,136,68,10
750,0.20,15,15,8,33
9900,0.14,198,198,99,2
1383,1.29,28,28,14,8
9900,0.14,198,198,99,4
9900,0.24,198,198,99,3
9900,0.24,198,198,99,5
733,0.30,15,15,7,33
467,0.10,9,9,5,50
9350,0.24,187,187,94,8
9150,1.25,183,183,92,6
9900,0.14,198,198,99,3
9900,0.14,198,198,99,3
3083,1.18,62,62,31,3
750,0.20,15,15,8,17
9900,0.04,198,198,99,9
9900,0.04,198,198,99,3
2267,0.39,45,45,23,10
8700,1.25,174,174,87,4
9900,0.24,198,198,99,8
6733,0.26,135,135,67,6
8884,0.35,178,178,89,2
9900,0.34,198,198,99,8
533,0.10,11,11,5,10
9900,0.24,198,198,99,17
2700,1.18,54,54,27,5
1067,0.09,21,21,11,1
9900,0.04,198,198,99,17
9900,0.24,198,198,99,8
800,0.10,16,16,8,4
2600,1.18,52,52,26,3
5400,1.17,108,108,54,4
583,0.10,12,12,6,33
417,0.10,8,8,4,9
7600,0.25,152,152,76,7
5816,0.37,116,116,58,17
317,0.00,6,6,3,1
9900,0.34,198,198,99,3
9900,-0.06,198,198,99,67
383,1.20,8,8,4,6
5750,0.57,115,115,58,7
534,0.30,11,11,5,17
1183,0.29,24,24,12,5
250,0.20,5,5,3,50
9900,0.54,198,198,99,5
9900,0.34,198,198,99,4
633,1.20,13,13,6,4
784,1.30,16,16,8,2
4383,1.47,88,88,44,5
9900,0.24,198,198,99,5
2483,1.29,50,50,25,7
2950,1.58,59,59,30,7
900,0.09,18,18,9,33
9900,0.24,198,198,99,4
567,0.20,11,11,6,50
5367,0.27,107,107,54,33
6250,1.46,125,125,63,7
1600,0.39,32,32,16,3
466,0.20,9,9,5,3
9900,0.54,198,198,99,5
6834,1.26,137,137,68,9
2483,0.29,50,50,25,4
